Any,Codi comarca,Comarca,Població,Domèstic xarxa,Activitats econòmiques i fonts pròpies,Total,Consum domèstic per càpita
2023,1,"ALT CAMP, L'",46117,1711217,2692171,4403388,101.66
2023,2,"ALT EMPORDÀ, L'",146552,8021123,4343524,12364647,149.95
2023,3,"ALT PENEDÈS, L'",112638,4362371,2950711,7313082,106.11
2023,4,"ALT URGELL, L'",20855,994675,1368872,2363547,130.67
2023,5,"ALTA RIBAGORÇA, L'",3966,466511,249055,715566,322.27
2023,6,"ANOIA, L'",126695,4757347,5827828,10585175,102.88
2023,7,"BAGES, EL",183711,6962855,6414833,13377688,103.84
2023,8,"BAIX CAMP, EL",201361,9396005,5732920,15128925,127.84
2023,9,"BAIX EBRE, EL",80974,3372120,4650031,8022151,114.09
2023,10,"BAIX EMPORDÀ, EL",141521,9808033,6257373,16065406,189.88
2023,11,"BAIX LLOBREGAT, EL",841731,31753625,22439518,54193143,103.35
2023,12,"BAIX PENEDÈS, EL",115802,6554775,2242496,8797271,155.08
2023,13,"BARCELONÈS, EL",2318321,86258742,39957190,126215932,101.94
2023,14,"BERGUEDÀ, EL",40577,1378139,1216163,2594302,93.05
2023,15,"CERDANYA, LA",19848,1384865,2271943,3656808,191.16
2023,16,"CONCA DE BARBERÀ, LA",20436,674190,723098,1397288,90.38
2023,17,"GARRAF, EL",159140,7482336,2439058,9921394,128.81
2023,18,"GARRIGUES, LES",18887,671100,876384,1547484,97.35
2023,19,"GARROTXA, LA",61365,2424393,3897146,6321539,108.24
2023,20,"GIRONÈS, EL",201884,7158440,6576946,13735386,97.15
2023,43,"LLUÇANÈS, EL",5681,183797,399519,583316,88.64
2023,21,"MARESME, EL",467914,20288184,8692637,28980821,118.79
2023,42,Moianès,14699,577699,620457,1198156,107.68
2023,22,"MONTSIÀ, EL",70023,2734153,2094619,4828772,106.98
2023,23,"NOGUERA, LA",39650,1727125,1580697,3307822,119.34
2023,24,OSONA,161988,6036350,7799017,13835367,102.09
2023,25,"PALLARS JUSSÀ, EL",13370,816307,251175,1067482,167.27
2023,26,"PALLARS SOBIRÀ, EL",7248,579310,597753,1177063,218.98
2023,27,"PLA D'URGELL, EL",37456,1560682,3583175,5143857,114.16
2023,28,"PLA DE L'ESTANY, EL",33213,1377652,1485171,2862823,113.64
2023,29,"PRIORAT, EL",9315,318490,132137,450627,93.67
2023,30,"RIBERA D'EBRE, LA",22028,946700,1690081,2636781,117.75
2023,31,"RIPOLLÈS, EL",25692,1088068,1210353,2298421,116.03
2023,32,"SEGARRA, LA",23931,833397,2726847,3560244,95.41
2023,33,"SEGRIÀ, EL",215219,9476888,8109913,17586801,120.64
2023,34,"SELVA, LA",183055,8781301,9491492,18272793,131.43
2023,35,"SOLSONÈS, EL",13677,537502,708782,1246284,107.67
2023,36,"TARRAGONÈS, EL",270038,13123266,42299425,55422691,133.14
2023,37,TERRA ALTA,11472,386851,227648,614499,92.39
2023,38,"URGELL, L'",38013,1490954,1226330,2717284,107.46
2023,39,"VAL D'ARAN, LA",10500,1404799,1081462,2486261,366.55
2023,40,"VALLÈS OCCIDENTAL, EL",949785,36008129,20567662,56575791,103.87
2023,41,"VALLÈS ORIENTAL, EL",422777,16346948,12488154,28835102,105.93
2022,1,"ALT CAMP, L'",45540,1685688,3040038,4725726,101.41
2022,2,"ALT EMPORDÀ, L'",144926,8583560,4831755,13415315,162.27
2022,3,"ALT PENEDÈS, L'",110929,4533398,3262053,7795451,111.97
2022,4,"ALT URGELL, L'",20482,1016456,1467236,2483692,135.96
2022,5,"ALTA RIBAGORÇA, L'",3958,469071,271619,740690,324.69
2022,6,"ANOIA, L'",125065,4977903,5752687,10730590,109.05
2022,7,"BAGES, EL",180873,7245892,6808136,14054028,109.76
2022,8,"BAIX CAMP, EL",197525,9839320,5717291,15556611,136.47
2022,9,"BAIX EBRE, EL",79636,3368526,4459442,7827968,115.89
2022,10,"BAIX EMPORDÀ, EL",138517,11071935,6503559,17575494,218.99
2022,11,"BAIX LLOBREGAT, EL",833540,32609245,25025849,57635094,107.18
2022,12,"BAIX PENEDÈS, EL",112460,6647116,2234536,8881652,161.94
2022,13,"BARCELONÈS, EL",2280042,85597398,41264991,126862389,102.85
2022,14,"BERGUEDÀ, EL",40279,1433782,1140795,2574577,97.52
2022,15,"CERDANYA, LA",19443,1451755,2110072,3561827,204.57
2022,16,"CONCA DE BARBERÀ, LA",20176,711946,695755,1407701,96.68
2022,17,"GARRAF, EL",156794,7822472,2757978,10580450,136.69
2022,18,"GARRIGUES, LES",19011,689034,946087,1635121,99.3
2022,19,"GARROTXA, LA",59750,2491915,4213288,6705203,114.26
2022,20,"GIRONÈS, EL",198582,7673150,7122798,14795948,105.86
2022,21,"MARESME, EL",462213,21166971,8985054,30152025,125.47
2022,42,Moianès,14428,624914,697786,1322700,118.66
2022,22,"MONTSIÀ, EL",68744,2729045,1989461,4718506,108.76
2022,23,"NOGUERA, LA",39297,1823230,1727509,3550739,127.11
2022,24,OSONA,165229,6516741,8334893,14851634,108.06
2022,25,"PALLARS JUSSÀ, EL",13199,824651,248909,1073560,171.17
2022,26,"PALLARS SOBIRÀ, EL",7181,557519,561193,1118712,212.71
2022,27,"PLA D'URGELL, EL",37045,1626134,4116660,5742794,120.26
2022,28,"PLA DE L'ESTANY, EL",32941,1409299,1666188,3075487,117.21
2022,29,"PRIORAT, EL",9238,331682,139442,471124,98.37
2022,30,"RIBERA D'EBRE, LA",21920,915657,2471582,3387239,114.45
2022,31,"RIPOLLÈS, EL",25510,1093604,1311974,2405578,117.45
2022,32,"SEGARRA, LA",23601,922385,2764766,3687151,107.08
2022,33,"SEGRIÀ, EL",212388,9653328,8669391,18322719,124.52
2022,34,"SELVA, LA",177542,9089937,9805519,18895456,140.27
2022,35,"SOLSONÈS, EL",13632,569525,738564,1308089,114.46
2022,36,"TARRAGONÈS, EL",263428,13236385,42708805,55945190,137.66
2022,37,TERRA ALTA,11408,390444,260990,651434,93.77
2022,38,"URGELL, L'",37447,1556541,1269562,2826103,113.88
2022,39,"VAL D'ARAN, LA",10268,1397874,903296,2301170,372.98
2022,40,"VALLÈS OCCIDENTAL, EL",940881,37373574,22631442,60005016,108.83
2022,41,"VALLÈS ORIENTAL, EL",417543,17225409,13969890,31195299,113.03
2021,1,"ALT CAMP, L'",45045,1714466,2915294,4629760,104.28
2021,2,"ALT EMPORDÀ, L'",143762,8595769,4172993,12768762,163.81
2021,3,"ALT PENEDÈS, L'",110172,4603268,3011623,7614891,114.47
2021,4,"ALT URGELL, L'",20453,1053239,1416721,2469960,141.08
2021,5,"ALTA RIBAGORÇA, L'",3945,461015,201657,662672,320.17
2021,6,"ANOIA, L'",124112,5182118,6005787,11187905,114.39
2021,7,"BAGES, EL",180962,7609029,6271304,13880333,115.2
2021,8,"BAIX CAMP, EL",195098,9821710,5573863,15395573,137.92
2021,9,"BAIX EBRE, EL",78721,3414757,4655762,8070519,118.84
2021,10,"BAIX EMPORDÀ, EL",137268,10749300,5741767,16491067,214.54
2021,11,"BAIX LLOBREGAT, EL",833312,34192024,23162533,57354557,112.42
2021,12,"BAIX PENEDÈS, EL",110439,6804378,1949171,8753549,168.8
2021,13,"BARCELONÈS, EL",2280967,87617832,34631711,122249543,105.24
2021,14,"BERGUEDÀ, EL",40004,1504130,1125173,2629303,103.01
2021,15,"CERDANYA, LA",19230,1412914,2053735,3466649,201.3
2021,16,"CONCA DE BARBERÀ, LA",20104,741923,647465,1389388,101.11
2021,17,"GARRAF, EL",154264,7899473,2482153,10381626,140.29
2021,18,"GARRIGUES, LES",19010,724839,1031376,1756215,104.46
2021,19,"GARROTXA, LA",59163,2500951,4075751,6576702,115.81
2021,20,"GIRONÈS, EL",196768,7972533,7013444,14985977,111.01
2021,21,"MARESME, EL",459625,21500298,8071578,29571876,128.16
2021,42,Moianès,14243,675920,669991,1345911,130.02
2021,22,"MONTSIÀ, EL",68397,2836697,1935397,4772094,113.63
2021,23,"NOGUERA, LA",39169,1829434,1705103,3534537,127.96
2021,24,OSONA,164077,6657825,8233359,14891184,111.17
2021,25,"PALLARS JUSSÀ, EL",13170,807845,257622,1065467,168.05
2021,26,"PALLARS SOBIRÀ, EL",7101,569639,565576,1135215,219.78
2021,27,"PLA D'URGELL, EL",36769,1684890,4169719,5854609,125.54
2021,28,"PLA DE L'ESTANY, EL",32876,1390103,1442415,2832518,115.84
2021,29,"PRIORAT, EL",9239,347558,133327,480885,103.06
2021,30,"RIBERA D'EBRE, LA",21864,997496,2944806,3942302,124.99
2021,31,"RIPOLLÈS, EL",25449,1131161,1110032,2241193,121.78
2021,32,"SEGARRA, LA",23412,863188,2685024,3548212,101.01
2021,33,"SEGRIÀ, EL",211609,9911298,7487500,17398798,128.32
2021,34,"SELVA, LA",175702,9031113,8730934,17762047,140.82
2021,35,"SOLSONÈS, EL",13600,568287,704048,1272335,114.48
2021,36,"TARRAGONÈS, EL",262001,13214891,40877304,54092195,138.19
2021,37,TERRA ALTA,11401,408164,203401,611565,98.08
2021,38,"URGELL, L'",37276,1599319,1253057,2852376,117.55
2021,39,"VAL D'ARAN, LA",10372,1391774,928523,2320297,367.63
2021,40,"VALLÈS OCCIDENTAL, EL",937422,38835630,22448842,61284472,113.5
2021,41,"VALLÈS ORIENTAL, EL",415789,17604767,13078062,30682829,116
2020,1,"ALT CAMP, L'",44695,1739657,2765098,4504755,106.64
2020,2,"ALT EMPORDÀ, L'",142624,8213884,3763326,11977210,157.78
2020,3,"ALT PENEDÈS, L'",109606,4631724,2826014,7457738,115.78
2020,4,"ALT URGELL, L'",20231,998866,1246176,2245042,135.27
2020,5,"ALTA RIBAGORÇA, L'",3825,462235,328691,790926,331.08
2020,6,"ANOIA, L'",123024,5237834,5737053,10974887,116.65
2020,7,"BAGES, EL",180575,7693992,5930717,13624709,116.74
2020,8,"BAIX CAMP, EL",194127,9818470,5103559,14922029,138.57
2020,9,"BAIX EBRE, EL",78011,3503009,4246346,7749355,123.02
2020,10,"BAIX EMPORDÀ, EL",135805,10258046,5056592,15314638,206.95
2020,11,"BAIX LLOBREGAT, EL",834653,34819985,22181562,57001547,114.3
2020,12,"BAIX PENEDÈS, EL",107803,6546748,1836060,8382808,166.38
2020,13,"BARCELONÈS, EL",2314620,93135769,33065103,126200872,110.24
2020,14,"BERGUEDÀ, EL",39980,1492692,1101383,2594075,102.29
2020,15,"CERDANYA, LA",18525,1460081,1715563,3175644,215.94
2020,16,"CONCA DE BARBERÀ, LA",19947,794102,544995,1339097,109.07
2020,17,"GARRAF, EL",152801,7890729,2265947,10156676,141.48
2020,18,"GARRIGUES, LES",18873,762027,807156,1569183,110.62
2020,19,"GARROTXA, LA",58620,2575160,3741090,6316250,120.36
2020,20,"GIRONÈS, EL",197104,7923915,6691534,14615449,110.14
2020,21,"MARESME, EL",458626,22190829,7576607,29767436,132.56
2020,42,Moianès,13919,658508,553520,1212028,129.62
2020,22,"MONTSIÀ, EL",68263,2863081,1865926,4729007,114.91
2020,23,"NOGUERA, LA",39132,1812182,1682269,3494451,126.88
2020,24,OSONA,163702,6757954,7920903,14678857,113.1
2020,25,"PALLARS JUSSÀ, EL",13227,800873,253477,1054350,165.89
2020,26,"PALLARS SOBIRÀ, EL",6930,561646,556285,1117931,222.04
2020,27,"PLA D'URGELL, EL",36737,1659413,4335065,5994478,123.75
2020,28,"PLA DE L'ESTANY, EL",32637,1424715,1448611,2873326,119.6
2020,29,"PRIORAT, EL",9160,346877,117637,464514,103.75
2020,30,"RIBERA D'EBRE, LA",21870,1036795,2989309,4026104,129.88
2020,31,"RIPOLLÈS, EL",25253,1134721,1254046,2388767,123.11
2020,32,"SEGARRA, LA",23318,898650,2678326,3576976,105.59
2020,33,"SEGRIÀ, EL",211840,10019032,6632310,16651342,129.58
2020,34,"SELVA, LA",174638,8931510,8250191,17181701,140.12
2020,35,"SOLSONÈS, EL",13513,569634,652031,1221665,115.49
2020,36,"TARRAGONÈS, EL",261466,13389748,39046280,52436028,140.3
2020,37,TERRA ALTA,11430,406509,171624,578133,97.44
2020,38,"URGELL, L'",37116,1580925,1083843,2664768,116.7
2020,39,"VAL D'ARAN, LA",10175,1404434,1047640,2452074,378.16
2020,40,"VALLÈS OCCIDENTAL, EL",937508,39046670,20716508,59763178,114.11
2020,41,"VALLÈS ORIENTAL, EL",414570,17721156,12327372,30048528,117.11
2019,1,"ALT CAMP, L'",44296,1655537,3028257,4683794,102.4
2019,2,"ALT EMPORDÀ, L'",141339,8391792,4771602,13163394,162.67
2019,3,"ALT PENEDÈS, L'",108411,4296388,2914930,7211318,108.58
2019,4,"ALT URGELL, L'",20177,972254,1452242,2424496,132.02
2019,5,"ALTA RIBAGORÇA, L'",3802,489029,202942,691971,352.39
2019,6,"ANOIA, L'",120738,4996187,6271896,11268083,113.37
2019,7,"BAGES, EL",178885,7213340,7105346,14318686,110.48
2019,8,"BAIX CAMP, EL",190973,9581608,6032268,15613876,137.46
2019,9,"BAIX EBRE, EL",77596,3421105,4488740,7909845,120.79
2019,10,"BAIX EMPORDÀ, EL",134359,10562167,6305271,16867438,215.37
2019,11,"BAIX LLOBREGAT, EL",825963,32332690,25263950,57596640,107.25
2019,12,"BAIX PENEDÈS, EL",104991,6395692,2290546,8686238,166.89
2019,13,"BARCELONÈS, EL",2278437,86987695,41704636,128692331,104.6
2019,14,"BERGUEDÀ, EL",39446,1389347,904665,2294012,96.5
2019,15,"CERDANYA, LA",18192,1432411,2100446,3532857,215.72
2019,16,"CONCA DE BARBERÀ, LA",20042,739076,627320,1366396,101.03
2019,17,"GARRAF, EL",150887,7468438,2772171,10240609,135.61
2019,18,"GARRIGUES, LES",18833,717759,774444,1492203,104.42
2019,19,"GARROTXA, LA",57590,2370404,4045001,6415405,112.77
2019,20,"GIRONÈS, EL",193908,7377732,10334108,17711840,104.24
2019,21,"MARESME, EL",452690,20732267,9563185,30295452,125.47
2019,42,Moianès,13603,622573,582437,1205010,125.39
2019,22,"MONTSIÀ, EL",67436,2764996,2005323,4770319,112.33
2019,23,"NOGUERA, LA",38770,1713459,1702308,3415767,121.08
2019,24,OSONA,160821,6259962,8657380,14917342,106.64
2019,25,"PALLARS JUSSÀ, EL",13080,799413,311119,1110532,167.44
2019,26,"PALLARS SOBIRÀ, EL",6932,564191,584129,1148320,222.98
2019,27,"PLA D'URGELL, EL",36693,1629247,4523152,6152399,121.65
2019,28,"PLA DE L'ESTANY, EL",32293,1374736,1430923,2805659,116.63
2019,29,"PRIORAT, EL",9245,337421,132262,469683,99.99
2019,30,"RIBERA D'EBRE, LA",21865,947642,3457939,4405581,118.74
2019,31,"RIPOLLÈS, EL",25087,1077632,1458292,2535924,117.69
2019,32,"SEGARRA, LA",23052,829654,2295241,3124895,98.6
2019,33,"SEGRIÀ, EL",209818,9379184,7903289,17282473,122.47
2019,34,"SELVA, LA",171617,8860789,10192204,19052993,141.46
2019,35,"SOLSONÈS, EL",13469,570274,571207,1141481,116
2019,36,"TARRAGONÈS, EL",256730,12983069,44208846,57191915,138.55
2019,37,TERRA ALTA,11490,404546,264548,669094,96.46
2019,38,"URGELL, L'",36693,1453491,1169112,2622603,108.53
2019,39,"VAL D'ARAN, LA",10093,1392780,1177299,2570079,378.07
2019,40,"VALLÈS OCCIDENTAL, EL",925237,36467861,24083867,60551728,107.99
2019,41,"VALLÈS ORIENTAL, EL",409638,16648383,13516403,30164786,111.35
2018,1,"ALT CAMP, L'",44065,1641853,2890538,4532391,102.08
2018,2,"ALT EMPORDÀ, L'",140569,8160164,4663173,12823337,159.04
2018,3,"ALT PENEDÈS, L'",108122,4177903,3068538,7246441,105.86
2018,4,"ALT URGELL, L'",20224,922281,1389153,2311434,124.94
2018,5,"ALTA RIBAGORÇA, L'",3774,493426,154114,647540,358.2
2018,6,"ANOIA, L'",119089,4731908,6240631,10972539,108.86
2018,7,"BAGES, EL",176485,6995011,7221037,14216048,108.59
2018,8,"BAIX CAMP, EL",188841,9616130,6202185,15818315,139.51
2018,9,"BAIX EBRE, EL",77868,3364471,4368212,7732683,118.38
2018,10,"BAIX EMPORDÀ, EL",133461,10086083,5859640,15945723,207.05
2018,11,"BAIX LLOBREGAT, EL",819168,31921843,25106252,57028095,106.76
2018,12,"BAIX PENEDÈS, EL",102409,6029014,2232000,8261014,161.29
2018,13,"BARCELONÈS, EL",2254642,86957071,42937375,129894446,105.67
2018,14,"BERGUEDÀ, EL",39104,1345471,806894,2152365,94.27
2018,15,"CERDANYA, LA",17882,1378190,1698063,3076253,211.15
2018,16,"CONCA DE BARBERÀ, LA",20103,740253,573841,1314094,100.88
2018,17,"GARRAF, EL",149103,7418408,2814563,10232971,136.31
2018,18,"GARRIGUES, LES",18771,711204,935711,1646915,103.8
2018,19,"GARROTXA, LA",56613,2260986,4005932,6266918,109.42
2018,20,"GIRONÈS, EL",190786,7184902,10036228,17221130,103.18
2018,21,"MARESME, EL",447824,20343948,9385652,29729600,124.46
2018,42,Moianès,13432,581316,525638,1106954,118.57
2018,22,"MONTSIÀ, EL",67083,2718691,1953754,4672445,111.03
2018,23,"NOGUERA, LA",38708,1667529,1730996,3398525,118.03
2018,24,OSONA,158334,6006017,8455751,14461768,103.92
2018,25,"PALLARS JUSSÀ, EL",13091,788575,311938,1100513,165.04
2018,26,"PALLARS SOBIRÀ, EL",6934,546098,628431,1174529,215.77
2018,27,"PLA D'URGELL, EL",36740,1607559,4529496,6137055,119.88
2018,28,"PLA DE L'ESTANY, EL",32006,1307741,1498435,2806176,111.94
2018,29,"PRIORAT, EL",9296,335821,138386,474207,98.97
2018,30,"RIBERA D'EBRE, LA",21964,950873,3419903,4370776,118.61
2018,31,"RIPOLLÈS, EL",25000,1043999,1190031,2234030,114.41
2018,32,"SEGARRA, LA",22822,817089,2598214,3415303,98.09
2018,33,"SEGRIÀ, EL",208638,9200258,7704087,16904345,120.81
2018,34,"SELVA, LA",169029,8757016,10256780,19013796,141.94
2018,35,"SOLSONÈS, EL",13392,564374,609870,1174244,115.46
2018,36,"TARRAGONÈS, EL",252790,12630262,41807472,54437734,136.89
2018,37,TERRA ALTA,11483,407182,284672,691854,97.15
2018,38,"URGELL, L'",36243,1453506,1075228,2528734,109.88
